feature_code,description,order,notes
H.FISH,fishing area,0,"a fishing ground, bank or area where fishermen go to catch fish"
H.FJD,fjord,0,"a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts"
H.FJDS,fjords,0,"long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts"
H.FLLS,waterfall(s),0,a perpendicular or very steep descent of the water of a stream
H.FLLSX,section of waterfall(s),0,
H.FLTM,mud flat(s),0,"a relatively level area of mud either between high and low tide lines, or subject to flooding"
H.FLTT,tidal flat(s),0,a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide
H.GLCR,glacier(s),0,"a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses"
H.GULF,gulf,0,"a large recess in the coastline, larger than a bay"
H.GYSR,geyser,0,a type of hot spring with intermittent eruptions of jets of hot water and steam
H.HBR,harbor(s),0,a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships
H.HBRX,section of harbor,0,
H.INLT,inlet,0,"a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water"
H.INLTQ,former inlet,0,"an inlet which has been filled in, or blocked by deposits"
H.LBED,lake bed(s),0,a dried up or drained area of a former lake
H.LGN,lagoon,0,"a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature"
H.LGNS,lagoons,0,"shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature"
H.LGNX,section of lagoon,0,
H.LK,lake,0,a large inland body of standing water
H.LKC,crater lake,0,a lake in a crater or caldera
H.LKI,intermittent lake,0,
H.LKN,salt lake,0,an inland body of salt water with no outlet
H.LKNI,intermittent salt lake,0,
H.LKO,oxbow lake,0,a crescent-shaped lake commonly found adjacent to meandering streams
H.LKOI,intermittent oxbow lake,0,
H.LKS,lakes,0,large inland bodies of standing water
H.LKSB,underground lake,0,a standing body of water in a cave
H.LKSC,crater lakes,0,lakes in a crater or caldera
H.LKSI,intermittent lakes,0,
H.LKSN,salt lakes,0,inland bodies of salt water with no outlet
H.LKSNI,intermittent salt lakes,0,
H.LKX,section of lake,0,
H.MFGN,salt evaporation ponds,0,diked salt ponds used in the production of solar evaporated salt
H.MGV,mangrove swamp,0,a tropical tidal mud flat characterized by mangrove vegetation
H.MOOR,moor(s),0,an area of open ground overlaid with wet peaty soils
H.MRSH,marsh(es),0,a wetland dominated by grass-like vegetation
H.MRSHN,salt marsh,0,"a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants"
H.NRWS,narrows,0,"a navigable narrow part of a bay, strait, river, etc."
H.OCN,ocean,0,one of the major divisions of the vast expanse of salt water covering part of the earth
H.OVF,overfalls,0,an area of breaking waves caused by the meeting of currents or by waves moving against the current
H.PND,pond,0,a small standing waterbody
H.PNDI,intermittent pond,0,
H.PNDN,salt pond,0,"a small standing body of salt water often in a marsh or swamp, usually along a seacoast"
H.PNDNI,intermittent salt pond(s),0,
H.PNDS,ponds,0,small standing waterbodies
H.PNDSF,fishponds,0,ponds or enclosures in which fish are kept or raised
H.PNDSI,intermittent ponds,0,
H.PNDSN,salt ponds,0,"small standing bodies of salt water often in a marsh or swamp, usually along a seacoast"
H.POOL,pool(s),0,"a small and comparatively still, deep part of a larger body of water such as a stream or harbor; or a small body of standing water"
H.POOLI,intermittent pool,0,
H.RCH,reach,0,a straight section of a navigable stream or channel between two bends
H.RDGG,icecap ridge,0,a linear elevation on an icecap
H.RDST,roadstead,0,an open anchorage affording less protection than a harbor
H.RF,reef(s),0,a surface-navigation hazard composed of consolidated material
H.RFC,coral reef(s),0,a surface-navigation hazard composed of coral
H.RFX,section of reef,0,
H.RPDS,rapids,0,"a turbulent section of a stream associated with a steep, irregular stream bed"
H.RSV,reservoir(s),0,an artificial pond or lake
H.RSVI,intermittent reservoir,0,
H.RSVT,water tank,0,"a contained pool or tank of water at, below, or above ground level"
H.RVN,ravine(s),0,"a small, narrow, deep, steep-sided stream channel, smaller than a gorge"
H.SBKH,sabkha(s),0,a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides
H.SD,sound,0,a long arm of the sea forming a channel between the mainland and an island or islands; or connecting two larger bodies of water
H.SEA,sea,0,a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean
H.SHOL,shoal(s),0,a surface-navigation hazard composed of unconsolidated material
H.SILL,sill,0,"the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord"
H.SPNG,spring(s),0,a place where ground water flows naturally out of the ground
H.SPNS,sulphur spring(s),0,a place where sulphur ground water flows naturally out of the ground
H.SPNT,hot spring(s),0,a place where hot ground water flows naturally out of the ground
H.STM,stream,0,a body of running water moving to a lower level in a channel on land
H.STMA,anabranch,0,a diverging branch flowing out of a main stream and rejoining it downstream
H.STMB,stream bend,0,a conspicuously curved or bent segment of a stream
H.STMC,canalized stream,0,"a stream that has been substantially ditched, diked, or straightened"
H.STMD,distributary(-ies),0,"a branch which flows away from the main stream, as in a delta or irrigation canal"
H.STMH,headwaters,0,"the source and upper part of a stream, including the upper drainage basin"
H.STMI,intermittent stream,0,
H.STMIX,section of intermittent stream,0,
H.STMM,stream mouth(s),0,"a place where a stream discharges into a lagoon, lake, or the sea"
H.STMQ,abandoned watercourse,0,"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns"
H.STMS,streams,0,bodies of running water moving to a lower level in a channel on land
H.STMSB,lost river,0,"a surface stream that disappears into an underground channel, or dries up in an arid area"
H.STMX,section of stream,0,
H.STRT,strait,0,"a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water"
H.SWMP,swamp,0,a wetland dominated by tree vegetation
H.SYSI,irrigation system,0,"a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc."
H.TNLC,canal tunnel,0,a tunnel through which a canal passes
H.WAD,wadi,0,"a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse; found primarily in North Africa and the Middle East"
H.WADB,wadi bend,0,a conspicuously curved or bent segment of a wadi
H.WADJ,wadi junction,0,a place where two or more wadies join
H.WADM,wadi mouth,0,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody"
H.WADS,wadies,0,"valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses; found primarily in North Africa and the Middle East"
H.WADX,section of wadi,0,
H.WHRL,whirlpool,0,"a turbulent, rotating movement of water in a stream"
H.WLL,well,0,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface"
H.WLLQ,abandoned well,0,
H.WLLS,wells,0,"cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface"
H.WTLD,wetland,0,"an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation"
H.WTLDI,intermittent wetland,0,
H.WTRC,watercourse,0,"a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water"
H.WTRH,waterhole(s),0,"a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas"
L.AGRC,agricultural colony,0,a tract of land set aside for agricultural settlement
L.AMUS,amusement park,0,"Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location"
L.AREA,area,0,a tract of land without homogeneous character or boundaries
L.BSND,drainage basin,0,an area drained by a stream
L.BSNP,petroleum basin,0,an area underlain by an oil-rich structural basin
L.BTL,battlefield,0,a site of a land battle of historical importance
L.CLG,clearing,0,an area in a forest with trees removed
L.CMN,common,0,a park or pasture for community use
L.CNS,concession area,0,"a lease of land by a government for economic development, e.g., mining, forestry"
L.COLF,coalfield,0,a region in which coal deposits of possible economic value occur
L.CONT,continent,0,"continent: Europe, Africa, Asia, North America, South America, Oceania, Antarctica"
L.CST,coast,0,a zone of variable width straddling the shoreline
L.CTRB,business center,0,a place where a number of businesses are located
L.DEVH,housing development,0,a tract of land on which many houses of similar design are built according to a development plan
L.FLD,field(s),0,an open as opposed to wooded area
L.FLDI,irrigated field(s),0,a tract of level or terraced land which is irrigated
L.GASF,gasfield,0,an area containing a subterranean store of natural gas of economic value
L.GRAZ,grazing area,0,an area of grasses and shrubs used for grazing
L.GVL,gravel area,0,an area covered with gravel
L.INDS,industrial area,0,an area characterized by industrial activity
L.LAND,arctic land,0,a tract of land in the Arctic
L.LCTY,locality,0,a minor area or place of unspecified or mixed character and indefinite boundaries
L.MILB,military base,0,"a place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, a base from which operations can be initiated"
L.MNA,mining area,0,an area of mine sites where minerals and ores are extracted
L.MVA,maneuver area,0,a tract of land where military field exercises are carried out
L.NVB,naval base,0,"an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated"
L.OAS,oasis(-es),0,an area in a desert made productive by the availability of water
L.OILF,oilfield,0,an area containing a subterranean store of petroleum of economic value
L.PEAT,peat cutting area,0,an area where peat is harvested
L.PRK,park,0,"an area, often of forested land, maintained as a place of beauty, or for recreation"
L.PRT,port,0,"a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor"
L.QCKS,quicksand,0,"an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink"
L.RES,reserve,0,a tract of public land reserved for future use or restricted as to use
L.RESA,agricultural reserve,0,a tract of land reserved for agricultural reclamation and/or development
L.RESF,forest reserve,0,a forested area set aside for preservation or controlled use
L.RESH,hunting reserve,0,a tract of land used primarily for hunting
L.RESN,nature reserve,0,an area reserved for the maintenance of a natural habitat
L.RESP,palm tree reserve,0,an area of palm trees where use is controlled
L.RESV,reservation,0,"a tract of land set aside for aboriginal, tribal, or native populations"
L.RESW,wildlife reserve,0,a tract of public land reserved for the preservation of wildlife
L.RGN,region,0,an area distinguished by one or more observable physical or cultural characteristics
L.RGNE,economic region,0,a region of a country established for economic development or for statistical purposes
L.RGNH,historical region,0,a former historic area distinguished by one or more observable physical or cultural characteristics
L.RGNL,lake region,0,a tract of land distinguished by numerous lakes
L.RNGA,artillery range,0,a tract of land used for artillery firing practice
L.SALT,salt area,0,a shallow basin or flat where salt accumulates after periodic inundation
L.SNOW,snowfield,0,an area of permanent snow and ice forming the accumulation area of a glacier
L.TRB,tribal area,0,a tract of land used by nomadic or other tribes
P.PPL,populated place,50,"a city, town, village, or other agglomeration of buildings where people live and work"
P.PPLA,seat of a first-order administrative division,5,seat of a first-order administrative division (PPLC takes precedence over PPLA)
P.PPLA2,seat of a second-order administrative division,6,
P.PPLA3,seat of a third-order administrative division,7,
P.PPLA4,seat of a fourth-order administrative division,8,
P.PPLA5,seat of a fifth-order administrative division,9,
P.PPLC,capital of a political entity,1,capital of a political entity designated as an independent state
P.PPLCD,capital of a dependency or special area,4,capital or administrative center of a dependent political territory or area of special sovereignty
P.PPLCH,historical capital of a political entity,3,a former capital of a political entity
P.PPLF,farm village,100,a populated place where the population is largely engaged in agricultural activities
P.PPLG,seat of government of a political entity,2,
P.PPLH,historical populated place,60,a populated place that no longer exists
P.PPLL,populated locality,55,an area similar to a locality but with a small group of dwellings or other buildings
P.PPLQ,abandoned populated place,60,
P.PPLR,religious populated place,30,a populated place whose population is largely engaged in religious occupations
P.PPLS,populated places,50,"cities, towns, villages, or other agglomerations of buildings where people live and work"
P.PPLW,destroyed populated place,60,"a village, town or city destroyed by a natural disaster, or by war"
P.PPLX,section of populated place,60,
P.STLMT,israeli settlement,100,
R.CSWY,causeway,0,a raised roadway across wet ground or shallow water
R.OILP,oil pipeline,0,a pipeline used for transporting oil
R.PRMN,promenade,0,"a place for public walking, usually along a beach front"
R.PTGE,portage,0,"a place where boats, goods, etc., are carried overland between navigable waters"
R.RD,road,0,"an open way with improved surface for transportation of animals, people and vehicles"
R.RDA,ancient road,0,the remains of a road used by ancient cultures
R.RDB,road bend,0,a conspicuously curved or bent section of a road
R.RDCUT,road cut,0,an excavation cut through a hill or ridge for a road
R.RDJCT,road junction,0,a place where two or more roads join
R.RJCT,railroad junction,0,a place where two or more railroad tracks join
R.RR,railroad,0,a permanent twin steel-rail track on which freight and passenger cars move long distances
R.RRQ,abandoned railroad,0,
R.RTE,caravan route,0,the route taken by caravans
R.RYD,railroad yard,0,"a system of tracks used for the making up of trains, and switching and storing freight cars"
R.ST,street,0,a paved urban thoroughfare
R.STKR,stock route,0,a route taken by livestock herds
R.TNL,tunnel,0,a subterranean passageway for transportation
R.TNLN,natural tunnel,0,a cave that is open at both ends
R.TNLRD,road tunnel,0,a tunnel through which a road passes
R.TNLRR,railroad tunnel,0,a tunnel through which a railroad passes
R.TNLS,tunnels,0,subterranean passageways for transportation
R.TRL,trail,0,"a path, track, or route used by pedestrians, animals, or off-road vehicles"
S.ADMF,administrative facility,0,a government building
S.AGRF,agricultural facility,0,a building and/or tract of land used for improving agriculture
S.AIRB,airbase,0,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated"
S.AIRF,airfield,0,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo
S.AIRH,heliport,0,a place where helicopters land and take off
S.AIRP,airport,0,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo"
S.AIRQ,abandoned airfield,0,
S.AIRT,terminal,0,airport facilities for the handling of freight and passengers
S.AMTH,amphitheater,0,an oval or circular structure with rising tiers of seats about a stage or open space
S.ANS,archaeological/prehistoric site,0,"a place where archeological remains, old structures, or cultural artifacts are located"
S.AQC,aquaculture facility,0,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture"
S.ARCH,arch,0,a natural or man-made structure in the form of an arch
S.ARCHV,archive,0,a place or institution where documents are preserved
S.ART,piece of art,0,"a piece of art, like a sculpture, painting. In contrast to monument (MNMT) it is not commemorative."
S.ASTR,astronomical station,0,a point on the earth whose position has been determined by observations of celestial bodies
S.ASYL,asylum,0,a facility where the insane are cared for and protected
S.ATHF,athletic field,0,"a tract of land used for playing team sports, and athletic track and field events"
S.ATM,automatic teller machine,0,"An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services."
S.BANK,bank,0,"A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged."
S.BCN,beacon,0,a fixed artificial navigation mark
S.BDG,bridge,0,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across"
S.BDGQ,ruined bridge,0,a destroyed or decayed bridge which is no longer functional
S.BLDA,apartment building,0,a building containing several individual apartments
S.BLDG,building(s),0,"a structure built for permanent use, as a house, factory, etc."
S.BLDO,office building,0,commercial building where business and/or services are conducted
S.BP,boundary marker,0,a fixture marking a point along a boundary
S.BRKS,barracks,0,a building for lodging military personnel
S.BRKW,breakwater,0,a structure erected to break the force of waves at the entrance to a harbor or port
S.BSTN,baling station,0,a facility for baling agricultural products
S.BTYD,boatyard,0,"a waterside facility for servicing, repairing, and building small vessels"
S.BUR,burial cave(s),0,a cave used for human burials
S.BUSTN,bus station,0,"a facility comprising ticket office, platforms, etc. for loading and unloading passengers"
S.BUSTP,bus stop,0,a place lacking station facilities
S.CARN,cairn,0,a heap of stones erected as a landmark or for other purposes
S.CAVE,cave(s),0,"an underground passageway or chamber, or cavity on the side of a cliff"
S.CH,church,0,a building for public Christian worship
S.CMP,camp(s),0,"a site occupied by tents, huts, or other shelters for temporary use"
S.CMPL,logging camp,0,a camp used by loggers
S.CMPLA,labor camp,0,a camp used by migrant or temporary laborers
S.CMPMN,mining camp,0,a camp used by miners
S.CMPO,oil camp,0,a camp used by oilfield workers
S.CMPQ,abandoned camp,0,
S.CMPRF,refugee camp,0,a camp used by refugees
S.CMTY,cemetery,0,a burial place or ground
S.COMC,communication center,0,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information"
S.CRRL,corral(s),0,a pen or enclosure for confining or capturing animals
S.CSNO,casino,0,"a building used for entertainment, especially gambling"
S.CSTL,castle,0,a large fortified building or set of buildings
S.CSTM,customs house,0,"a building in a port where customs and duties are paid, and where vessels are entered and cleared"
S.CTHSE,courthouse,0,a building in which courts of law are held
S.CTRA,atomic center,0,a facility where atomic research is carried out
S.CTRCM,community center,0,a facility for community recreation and other activities
S.CTRF,facility center,0,a place where more than one facility is situated
S.CTRM,medical center,0,"a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc."
S.CTRR,religious center,0,"a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship"
S.CTRS,space center,0,"a facility for launching, tracking, or controlling satellites and space vehicles"
S.CTYD,courtyard,0,an area surrounded by a building or complex and open to the sky
S.CVNT,convent,0,a building where a community of nuns lives in seclusion
S.DAM,dam,0,a barrier constructed across a stream to impound water
S.DAMQ,ruined dam,0,a destroyed or decayed dam which is no longer functional
S.DAMSB,sub-surface dam,0,a dam put down to bedrock in a sand river
S.DARY,dairy,0,"a facility for the processing, sale and distribution of milk or milk products"
S.DCKD,dry dock,0,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed"
S.DCKY,dockyard,0,"a facility for servicing, building, or repairing ships"
S.DIKE,dike,0,an earth or stone embankment usually constructed for flood or stream control
S.DIP,diplomatic facility,0,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d'affaires, or other diplomatic, economic, military, or cultural mission"
S.DPOF,fuel depot,0,an area where fuel is stored
S.EST,estate(s),0,a large commercialized agricultural landholding with associated buildings and other facilities
S.ESTO,oil palm plantation,0,an estate specializing in the cultivation of oil palm trees
S.ESTR,rubber plantation,0,an estate which specializes in growing and tapping rubber trees
S.ESTSG,sugar plantation,0,an estate that specializes in growing sugar cane
S.ESTT,tea plantation,0,an estate which specializes in growing tea bushes
S.ESTX,section of estate,0,
S.FCL,facility,0,"a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc."
S.FIRE,fire station,0,building housing firefighters and/or fire fighting equipment
S.FNDY,foundry,0,a building or works where metal casting is carried out
S.FRM,farm,0,a tract of land with associated buildings devoted to agriculture
S.FRMQ,abandoned farm,0,
S.FRMS,farms,0,tracts of land with associated buildings devoted to agriculture
S.FRMT,farmstead,0,the buildings and adjacent service areas of a farm
S.FT,fort,0,a defensive structure or earthworks
S.FY,ferry,0,a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody
S.FYT,ferry terminal,0,"a place where ferries pick-up and discharge passengers, vehicles and or cargo"
S.GATE,gate,0,a controlled access entrance or exit
S.GDN,garden(s),0,an enclosure for displaying selected plant or animal life
S.GHAT,ghat,0,"a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing"
S.GHSE,guest house,0,a house used to provide lodging for paying guests
S.GOSP,gas-oil separator plant,0,a facility for separating gas from oil
S.GOVL,local government office,0,"a facility housing local governmental offices, usually a city, town, or village hall"
S.GRVE,grave,0,a burial site
S.HERM,hermitage,0,"a secluded residence, usually for religious sects"
S.HLT,halting place,0,a place where caravans stop for rest
S.HMSD,homestead,0,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand"
S.HSE,house(s),0,a building used as a human habitation
S.HSEC,country house,0,"a large house, mansion, or chateau, on a large estate"
S.HSP,hospital,0,"a building in which sick or injured, especially those confined to bed, are medically treated"
S.HSPC,clinic,0,a medical facility associated with a hospital for outpatients
S.HSPD,dispensary,0,a building where medical or dental aid is dispensed
S.HSPL,leprosarium,0,an asylum or hospital for lepers
S.HSTS,historical site,0,a place of historical importance
S.HTL,hotel,0,a building providing lodging and/or meals for the public
S.HUT,hut,0,a small primitive house
S.HUTS,huts,0,small primitive houses
S.INSM,military installation,0,a facility for use of and control by armed forces
S.ITTR,research institute,0,a facility where research is carried out
S.JTY,jetty,0,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting
S.LDNG,landing,0,"a place where boats receive or discharge passengers and freight, but lacking most port facilities"
S.LEPC,leper colony,0,a settled area inhabited by lepers in relative isolation
S.LIBR,library,0,"A place in which information resources such as books are kept for reading, reference, or lending."
S.LNDF,landfill,0,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land
S.LOCK,lock(s),0,a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another
S.LTHSE,lighthouse,0,a distinctive structure exhibiting a major navigation light
S.MALL,mall,0,"A large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways."
S.MAR,marina,0,"a harbor facility for small boats, yachts, etc."
S.MFG,factory,0,"one or more buildings where goods are manufactured, processed or fabricated"
S.MFGB,brewery,0,one or more buildings where beer is brewed
S.MFGC,cannery,0,a building where food items are canned
S.MFGCU,copper works,0,a facility for processing copper ore
S.MFGLM,limekiln,0,a furnace in which limestone is reduced to lime
S.MFGM,munitions plant,0,a factory where ammunition is made
S.MFGPH,phosphate works,0,a facility for producing fertilizer
S.MFGQ,abandoned factory,0,
S.MFGSG,sugar refinery,0,a facility for converting raw sugar into refined sugar
S.MKT,market,0,a place where goods are bought and sold at regular intervals
S.ML,mill(s),0,"a building housing machines for transforming, shaping, finishing, grinding, or extracting products"
S.MLM,ore treatment plant,0,a facility for improving the metal content of ore by concentration
S.MLO,olive oil mill,0,a mill where oil is extracted from olives
S.MLSG,sugar mill,0,a facility where sugar cane is processed into raw sugar
S.MLSGQ,former sugar mill,0,a sugar mill no longer used as a sugar mill
S.MLSW,sawmill,0,a mill where logs or lumber are sawn to specified shapes and sizes
S.MLWND,windmill,0,a mill or water pump powered by wind
S.MLWTR,water mill,0,a mill powered by running water
S.MN,mine(s),0,a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages
S.MNAU,gold mine(s),0,"a mine where gold ore, or alluvial gold is extracted"
S.MNC,coal mine(s),0,a mine where coal is extracted
S.MNCR,chrome mine(s),0,a mine where chrome ore is extracted
S.MNCU,copper mine(s),0,a mine where copper ore is extracted
S.MNFE,iron mine(s),0,a mine where iron ore is extracted
S.MNMT,monument,0,a commemorative structure or statue
S.MNN,salt mine(s),0,a mine from which salt is extracted
S.MNQ,abandoned mine,0,
S.MNQR,quarry(-ies),0,"a surface mine where building stone or gravel and sand, etc. are extracted"
S.MOLE,mole,0,a massive structure of masonry or large stones serving as a pier or breakwater
S.MSQE,mosque,0,a building for public Islamic worship
S.MSSN,mission,0,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion"
S.MSSNQ,abandoned mission,0,
S.MSTY,monastery,0,a building and grounds where a community of monks lives in seclusion
S.MTRO,metro station,0,"metro station (Underground, Tube, or Metro)"
S.MUS,museum,0,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited
S.NOV,novitiate,0,a religious house or school where novices are trained
S.NSY,nursery(-ies),0,a place where plants are propagated for transplanting or grafting
S.OBPT,observation point,0,a wildlife or scenic observation point
S.OBS,observatory,0,a facility equipped for observation of atmospheric or space phenomena
S.OBSR,radio observatory,0,a facility equipped with an array of antennae for receiving radio waves from space
S.OILJ,oil pipeline junction,0,a section of an oil pipeline where two or more pipes join together
S.OILQ,abandoned oil well,0,
S.OILR,oil refinery,0,a facility for converting crude oil into refined petroleum products
S.OILT,tank farm,0,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored"
S.OILW,oil well,0,a well from which oil may be pumped
S.OPRA,opera house,0,A theater designed chiefly for the performance of operas.
S.PAL,palace,0,"a large stately house, often a royal or presidential residence"
S.PGDA,pagoda,0,"a tower-like storied structure, usually a Buddhist shrine"
S.PIER,pier,0,a structure built out into navigable water on piles providing berthing for ships and recreation
S.PKLT,parking lot,0,an area used for parking vehicles
S.PMPO,oil pumping station,0,a facility for pumping oil through a pipeline
